epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0535,1.80725,3.58916,1.88406,0.18819,0.19228,0.10118,0.04353,1.94632,3.36511,2.14396,0.000412809,0.000412809,0.000412809
2,147.404,1.85881,3.12758,1.94667,0.16794,0.10265,0.06358,0.02159,2.25776,3.73906,2.61654,0.000802103,0.000802103,0.000802103
3,169.189,1.90404,2.97016,1.98803,0.21356,0.24986,0.11854,0.04502,2.24816,3.64057,2.55035,0.0011639,0.0011639,0.0011639
4,190.761,1.87268,2.85184,1.96558,0.21692,0.26304,0.16468,0.07013,2.16827,2.81553,2.33976,0.00112625,0.00112625,0.00112625
5,211.943,1.85272,2.7074,1.93923,0.27198,0.28461,0.18335,0.07139,2.13407,2.77818,2.35784,0.001085,0.001085,0.001085
6,233.206,1.80823,2.56825,1.91728,0.3549,0.27585,0.24566,0.10828,1.98555,2.69598,2.2623,0.00104375,0.00104375,0.00104375
7,254.157,1.76651,2.53309,1.88922,0.37504,0.29387,0.22688,0.10264,1.86718,2.72696,2.156,0.0010025,0.0010025,0.0010025
8,275.038,1.7197,2.41645,1.85832,0.44909,0.34971,0.35211,0.16174,1.92065,2.33224,2.14301,0.00096125,0.00096125,0.00096125
9,297.322,1.70724,2.37259,1.84763,0.33726,0.35929,0.28749,0.12733,2.00747,2.45051,2.32268,0.00092,0.00092,0.00092
10,317.776,1.66858,2.2659,1.80655,0.52813,0.36713,0.36517,0.1775,1.83898,2.34112,2.14175,0.00087875,0.00087875,0.00087875
11,338.802,1.66366,2.21771,1.79911,0.52252,0.39392,0.40655,0.20458,1.78822,2.1917,2.06645,0.0008375,0.0008375,0.0008375
12,359.514,1.61981,2.17579,1.76993,0.50513,0.3462,0.34821,0.17511,1.80342,2.49132,2.18235,0.00079625,0.00079625,0.00079625
13,380.2,1.6145,2.11279,1.76047,0.47513,0.43421,0.43332,0.22587,1.71047,2.11168,1.99159,0.000755,0.000755,0.000755
14,400.657,1.56891,2.0564,1.73829,0.46678,0.49205,0.45149,0.23499,1.70652,1.97907,1.93487,0.00071375,0.00071375,0.00071375
15,421.695,1.52159,1.97688,1.68318,0.59721,0.49115,0.50703,0.26965,1.65778,1.92709,1.96641,0.0006725,0.0006725,0.0006725
16,442.337,1.54412,1.94213,1.70305,0.5689,0.54267,0.54834,0.30397,1.60335,1.71847,1.86512,0.00063125,0.00063125,0.00063125
17,463.397,1.47873,1.8749,1.65086,0.59995,0.47555,0.50504,0.2757,1.6192,1.818,1.88525,0.00059,0.00059,0.00059
18,484.759,1.48242,1.84648,1.64297,0.5618,0.47781,0.50184,0.28261,1.64063,1.88691,1.90417,0.00054875,0.00054875,0.00054875
19,505.958,1.45919,1.77703,1.62674,0.60701,0.54324,0.58128,0.34153,1.51519,1.6541,1.77181,0.0005075,0.0005075,0.0005075
20,527.235,1.40204,1.71937,1.59108,0.68006,0.561,0.61722,0.35886,1.50238,1.58267,1.78413,0.00046625,0.00046625,0.00046625
21,575.589,1.38806,1.60355,1.66078,0.60604,0.57258,0.61081,0.37576,1.46209,1.54652,1.75974,0.000425,0.000425,0.000425
22,595.99,1.32833,1.47878,1.60125,0.74126,0.55284,0.63183,0.39579,1.39584,1.46176,1.67364,0.00038375,0.00038375,0.00038375
23,616.678,1.28232,1.39583,1.56111,0.69121,0.58941,0.63698,0.39463,1.39863,1.41147,1.68418,0.0003425,0.0003425,0.0003425
24,638.069,1.26083,1.32346,1.5427,0.73442,0.6528,0.70122,0.43799,1.33725,1.34081,1.6433,0.00030125,0.00030125,0.00030125
25,658.358,1.20044,1.25196,1.49138,0.6957,0.6643,0.70465,0.45643,1.30792,1.29136,1.6283,0.00026,0.00026,0.00026
26,679.699,1.17421,1.19594,1.47409,0.76354,0.64889,0.71587,0.47142,1.27327,1.22957,1.57147,0.00021875,0.00021875,0.00021875
27,700.282,1.1349,1.12792,1.42968,0.78393,0.6937,0.76312,0.50834,1.23596,1.11551,1.53413,0.0001775,0.0001775,0.0001775
28,721.215,1.10801,1.09196,1.40649,0.76066,0.71418,0.75765,0.51736,1.17915,1.10852,1.49711,0.00013625,0.00013625,0.00013625
29,741.68,1.08151,1.07419,1.40045,0.83192,0.69461,0.76952,0.52524,1.17623,1.08163,1.48876,9.5e-05,9.5e-05,9.5e-05
30,762.723,1.05445,1.02239,1.36912,0.8209,0.70082,0.77631,0.53467,1.14843,1.05791,1.46033,5.375e-05,5.375e-05,5.375e-05
