epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7316,1.87096,4.1319,2.09461,0.33673,0.05205,0.07235,0.02558,2.06497,3.6047,2.34807,0.000412809,0.000412809,0.000412809
2,72.5494,2.00372,3.62262,2.21285,0.08992,0.19238,0.04609,0.01407,2.418,3.43227,2.56654,0.000747357,0.000747357,0.000747357
3,94.3665,2.03381,3.32003,2.22164,0.22413,0.24037,0.14438,0.05574,2.15314,3.12793,2.48339,0.000999406,0.000999406,0.000999406
4,115.491,1.97696,3.02781,2.20372,0.16716,0.28678,0.14131,0.04364,2.2785,3.03543,2.52806,0.00087875,0.00087875,0.00087875
5,136.24,1.91973,2.80285,2.16079,0.28495,0.25698,0.20393,0.08002,2.10072,2.68579,2.26966,0.000755,0.000755,0.000755
6,157.523,1.85854,2.59985,2.06386,0.41317,0.36201,0.32207,0.15356,1.87662,2.42524,2.16035,0.00063125,0.00063125,0.00063125
7,178.721,1.77057,2.40793,1.97439,0.50771,0.38961,0.39034,0.179,1.80479,2.31323,2.06699,0.0005075,0.0005075,0.0005075
8,199.351,1.67889,2.25894,1.89331,0.57744,0.42234,0.44877,0.22221,1.71528,2.07442,1.97555,0.00038375,0.00038375,0.00038375
9,219.867,1.60648,2.07262,1.82491,0.60593,0.50831,0.52698,0.28163,1.61864,1.90206,1.84906,0.00026,0.00026,0.00026
10,240.857,1.52714,1.94343,1.75891,0.66613,0.52129,0.56937,0.33088,1.53234,1.75479,1.78922,0.00013625,0.00013625,0.00013625
