epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6583,1.80725,3.58916,1.88406,0.18819,0.19228,0.10118,0.04353,1.94632,3.36511,2.14396,0.000412809,0.000412809,0.000412809
2,147.863,1.8514,3.13099,1.92502,0.09802,0.15674,0.04505,0.01494,2.52472,4.15657,2.63825,0.000788416,0.000788416,0.000788416
3,169.815,1.90078,2.97967,1.98579,0.36793,0.12573,0.07635,0.02492,2.28394,3.91071,2.52392,0.00112277,0.00112277,0.00112277
4,190.285,1.88533,2.85093,1.97229,0.2475,0.24143,0.16278,0.05928,2.03056,3.15321,2.34532,0.00106437,0.00106437,0.00106437
5,210.947,1.83274,2.65264,1.92879,0.28687,0.28052,0.19192,0.0691,2.24103,2.88549,2.44647,0.0010025,0.0010025,0.0010025
6,231.834,1.773,2.5401,1.90497,0.41135,0.26362,0.22071,0.08307,2.12433,2.71895,2.33385,0.000940625,0.000940625,0.000940625
7,252.22,1.75894,2.49863,1.87136,0.30553,0.35861,0.25578,0.11542,1.89366,2.93897,2.14331,0.00087875,0.00087875,0.00087875
8,273.262,1.69941,2.37863,1.84632,0.47045,0.39184,0.37299,0.17458,1.85135,2.26545,2.122,0.000816875,0.000816875,0.000816875
9,293.963,1.69161,2.3221,1.83487,0.43033,0.34776,0.31755,0.14213,1.90049,2.42886,2.24351,0.000755,0.000755,0.000755
10,315.187,1.62101,2.18788,1.75795,0.62409,0.36733,0.41221,0.21672,1.78565,2.16906,2.02228,0.000693125,0.000693125,0.000693125
11,363.73,1.6959,2.21855,1.92834,0.54173,0.38075,0.41296,0.20019,1.73316,2.16671,2.02028,0.00063125,0.00063125,0.00063125
12,384.648,1.61375,2.04682,1.86844,0.57724,0.4838,0.50352,0.26479,1.67543,1.932,1.9597,0.000569375,0.000569375,0.000569375
13,405.091,1.56072,1.95184,1.80619,0.56444,0.51451,0.52255,0.28937,1.60792,1.84107,1.89001,0.0005075,0.0005075,0.0005075
14,426.577,1.49496,1.79127,1.75503,0.62404,0.535,0.53699,0.3141,1.56367,1.74074,1.86146,0.000445625,0.000445625,0.000445625
15,446.852,1.44729,1.71226,1.71449,0.67326,0.5674,0.61062,0.35879,1.48787,1.60691,1.79261,0.00038375,0.00038375,0.00038375
16,467.668,1.38884,1.60626,1.65636,0.67438,0.56976,0.61411,0.37098,1.4349,1.56223,1.73479,0.000321875,0.000321875,0.000321875
17,489.009,1.34312,1.5216,1.62725,0.70653,0.59839,0.65034,0.39784,1.3864,1.47424,1.70049,0.00026,0.00026,0.00026
18,510.489,1.29822,1.44654,1.58811,0.75901,0.62403,0.68219,0.43155,1.35468,1.38516,1.66342,0.000198125,0.000198125,0.000198125
19,532.019,1.24307,1.36217,1.54319,0.74043,0.63271,0.68621,0.43603,1.32909,1.35173,1.63031,0.00013625,0.00013625,0.00013625
20,553.122,1.22269,1.29273,1.51438,0.78381,0.65809,0.72282,0.46956,1.28919,1.25256,1.59208,7.4375e-05,7.4375e-05,7.4375e-05
