epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9067,1.80725,3.58916,1.88406,0.18819,0.19228,0.10118,0.04353,1.94632,3.36511,2.14396,0.000412809,0.000412809,0.000412809
2,146.621,1.86178,3.11125,1.93872,0.09482,0.13636,0.05986,0.02053,2.43578,3.35683,2.48049,0.000808946,0.000808946,0.000808946
3,168.504,1.92706,2.99206,1.99814,0.06789,0.12683,0.03871,0.01273,2.697,4.45274,2.68457,0.00118446,0.00118446,0.00118446
4,189.714,1.90212,2.84285,1.97899,0.15237,0.15771,0.07991,0.02937,2.2058,3.3997,2.49221,0.00115719,0.00115719,0.00115719
5,210.352,1.84753,2.69393,1.95062,0.21147,0.2718,0.16935,0.07282,2.10831,3.75376,2.36301,0.00112625,0.00112625,0.00112625
6,231.157,1.82468,2.59318,1.93079,0.38203,0.32792,0.27477,0.11703,1.93198,2.57448,2.18616,0.00109531,0.00109531,0.00109531
7,251.71,1.78951,2.50982,1.90006,0.51856,0.31149,0.30985,0.147,1.8957,2.50685,2.16665,0.00106437,0.00106437,0.00106437
8,272.45,1.72848,2.43198,1.87168,0.43876,0.38483,0.35374,0.16573,1.92965,2.37562,2.19983,0.00103344,0.00103344,0.00103344
9,293.74,1.73712,2.38804,1.86494,0.4654,0.37465,0.3645,0.15862,1.90072,2.3379,2.15028,0.0010025,0.0010025,0.0010025
10,314.651,1.68046,2.2799,1.8064,0.59816,0.38952,0.4102,0.20276,1.80433,2.29906,2.04589,0.000971562,0.000971562,0.000971562
11,335.533,1.65954,2.22569,1.80424,0.37068,0.41569,0.3601,0.1861,1.8094,2.32249,2.11514,0.000940625,0.000940625,0.000940625
12,356.687,1.64286,2.18599,1.78503,0.48753,0.40323,0.4187,0.22213,1.78167,2.07257,1.98982,0.000909688,0.000909688,0.000909688
13,377.855,1.63204,2.15261,1.76832,0.58195,0.39296,0.45553,0.23921,1.71008,2.06287,1.97963,0.00087875,0.00087875,0.00087875
14,398.752,1.59034,2.07601,1.74995,0.47199,0.44531,0.43315,0.22267,1.78233,2.06627,2.02989,0.000847813,0.000847813,0.000847813
15,420.847,1.57382,2.0018,1.71209,0.59968,0.42665,0.45947,0.25521,1.69433,2.0635,1.9644,0.000816875,0.000816875,0.000816875
16,441.158,1.57858,2.00262,1.72674,0.54971,0.51679,0.51676,0.28028,1.64357,1.81589,1.91432,0.000785938,0.000785938,0.000785938
17,462.417,1.51608,1.94776,1.68345,0.57797,0.5093,0.53203,0.30845,1.60725,1.75431,1.88441,0.000755,0.000755,0.000755
18,482.897,1.52267,1.92084,1.67418,0.52593,0.47168,0.48319,0.2698,1.60373,1.95679,1.88677,0.000724062,0.000724062,0.000724062
19,503.842,1.48976,1.83898,1.65849,0.62303,0.539,0.56743,0.33117,1.58116,1.71407,1.8456,0.000693125,0.000693125,0.000693125
20,525.025,1.45266,1.79634,1.63545,0.6412,0.55884,0.58199,0.34037,1.54259,1.63368,1.8327,0.000662188,0.000662188,0.000662188
21,545.957,1.44159,1.76769,1.61802,0.69342,0.54752,0.60936,0.35059,1.55909,1.53728,1.82771,0.00063125,0.00063125,0.00063125
22,566.745,1.41584,1.6861,1.58899,0.64569,0.55024,0.57883,0.32959,1.55116,1.63816,1.84673,0.000600313,0.000600313,0.000600313
23,587.465,1.39526,1.6606,1.58119,0.68165,0.54666,0.60999,0.36492,1.49507,1.52272,1.77515,0.000569375,0.000569375,0.000569375
24,608.643,1.378,1.64502,1.57427,0.72477,0.54939,0.64492,0.3946,1.43767,1.45211,1.71394,0.000538438,0.000538438,0.000538438
25,629.463,1.36395,1.60211,1.53899,0.72718,0.58132,0.65703,0.39018,1.45476,1.38814,1.73014,0.0005075,0.0005075,0.0005075
26,650.798,1.34683,1.56737,1.53477,0.70318,0.64665,0.68439,0.4278,1.39334,1.33065,1.68944,0.000476562,0.000476562,0.000476562
27,671.807,1.31437,1.52479,1.51961,0.72911,0.623,0.67924,0.42307,1.39957,1.32746,1.67208,0.000445625,0.000445625,0.000445625
28,692.886,1.28876,1.49674,1.48557,0.75336,0.60713,0.68916,0.43669,1.35161,1.30478,1.63504,0.000414688,0.000414688,0.000414688
29,713.849,1.27346,1.43268,1.47372,0.80166,0.61404,0.71732,0.45943,1.31979,1.2366,1.62476,0.00038375,0.00038375,0.00038375
30,735.688,1.27684,1.43718,1.48571,0.75891,0.61459,0.70073,0.45496,1.30411,1.26042,1.60385,0.000352812,0.000352812,0.000352812
31,784.048,1.20765,1.29953,1.47862,0.76178,0.63272,0.71783,0.46876,1.27538,1.19749,1.57714,0.000321875,0.000321875,0.000321875
32,804.883,1.15001,1.1776,1.45516,0.79697,0.66114,0.74713,0.50119,1.22519,1.13593,1.52595,0.000290937,0.000290937,0.000290937
33,825.645,1.10957,1.10794,1.40506,0.75116,0.69009,0.74057,0.50529,1.20162,1.13454,1.50503,0.00026,0.00026,0.00026
34,847.563,1.0845,1.06252,1.3885,0.76822,0.70732,0.77676,0.53881,1.15414,1.0345,1.46687,0.000229063,0.000229063,0.000229063
35,868.359,1.05851,1.00858,1.35921,0.78931,0.71767,0.77627,0.53951,1.14834,1.03398,1.45274,0.000198125,0.000198125,0.000198125
